                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       ФК «Локомотив» - ФК «Ахмат»
Объект:     Локомотив внутренний периметр
Дата матча: 15.04.2025 16:00:00 +03:00
Дата формирования отчета: 16.04.2025 08:39:39 +03:00


Вошло зрителей внешн:                  7850
Вышло зрителей внешн:                   145
Вошло зрителей внутр:                  7961
Вышло зрителей внутр:                  1014


1. КОЛИЧЕСТВО БИЛЕТОВ

4. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ВРЕМЕНИ

   Период времени    Кол-во входов       В %
-------------------- ------------- ---------------
ВСЕГО                         8883          100.0%
16:00:00 - 16:09:59             10            0.1%
16:10:00 - 16:19:59             19            0.2%
16:20:00 - 16:29:59             15            0.2%
16:30:00 - 16:39:59             41            0.5%
16:40:00 - 16:49:59             61            0.7%
16:50:00 - 16:59:59            128            1.4%
17:00:00 - 17:09:59            249            2.8%
17:10:00 - 17:19:59            382            4.3%
17:20:00 - 17:29:59            746            8.4%
17:30:00 - 17:39:59           1210           13.6%
17:40:00 - 17:49:59           1658           18.7%
17:50:00 - 17:59:59           1700           19.1%
18:00:00 - 18:09:59            910           10.2%
18:10:00 - 18:19:59            397            4.5%
18:20:00 - 18:29:59            180            2.0%
18:30:00 - 18:39:59            122            1.4%
18:40:00 - 18:49:59             87            1.0%
18:50:00 - 18:59:59            235            2.6%
19:00:00 - 19:09:59            554            6.2%
19:10:00 - 19:19:59            122            1.4%
19:20:00 - 19:29:59             38            0.4%
19:30:00 - 19:39:59             12            0.1%
19:40:00 - 19:49:59              6            0.1%
19:50:00 - 19:59:59              1            0.0%


5. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ТОЧКАМ ДОСТУПА

               КПП                  Турникет                    Успешно      В %      Неуспешно     В %
------------------------- ----------------------------------- ---------- ----------- ---------- -----------
 ВСЕГО                                                              8883      100.0%        607        6.4%
LOK_INT.KPP1/КПП KPP1      ВСЕГО                                       0        0.0%          1      100.0%
LOK_INT.KPP1/КПП KPP1     MGN.MT1/Мобильный терминал 2                 0        0.0%          1      100.0%
LOK_INT.EG1/КПП EG1        ВСЕГО                                     386        4.3%         30        7.2%
LOK_INT.EG1/КПП EG1       LOK_INT.EG1.TD1/Точка доступа 1            151        1.7%         11        6.8%
LOK_INT.EG1/КПП EG1       LOK_INT.EG1.TD2/Точка доступа 2            137        1.5%         10        6.8%
LOK_INT.EG1/КПП EG1       LOK_INT.EG1.TD3/Точка доступа 3             98        1.1%          9        8.4%
LOK_INT.EG2/КПП EG2        ВСЕГО                                     965       10.9%         68        6.6%
LOK_INT.EG2/КПП EG2       LOK_INT.EG2.TD1/Точка доступа 1            324        3.6%         23        6.6%
LOK_INT.EG2/КПП EG2       LOK_INT.EG2.TD2/Точка доступа 2            329        3.7%         17        4.9%
LOK_INT.EG2/КПП EG2       LOK_INT.EG2.TD3/Точка доступа 3            312        3.5%         28        8.2%
LOK_INT.EG3/КПП EG3        ВСЕГО                                     568        6.4%         36        6.0%
LOK_INT.EG3/КПП EG3       LOK_INT.EG3.TD1/Точка доступа 1            102        1.1%          4        3.8%
LOK_INT.EG3/КПП EG3       LOK_INT.EG3.TD2/Точка доступа 2            137        1.5%          5        3.5%
LOK_INT.EG3/КПП EG3       LOK_INT.EG3.TD3/Точка доступа 3            154        1.7%         10        6.1%
LOK_INT.EG3/КПП EG3       LOK_INT.EG3.TD4/Точка доступа 4            175        2.0%         17        8.9%
LOK_INT.EG4/КПП EG4        ВСЕГО                                     907       10.2%         47        4.9%
LOK_INT.EG4/КПП EG4       LOK_INT.EG4.TD1/Точка доступа 1            242        2.7%         22        8.3%
LOK_INT.EG4/КПП EG4       LOK_INT.EG4.TD2/Точка доступа 2            269        3.0%         18        6.3%
LOK_INT.EG4/КПП EG4       LOK_INT.EG4.TD3/Точка доступа 3            396        4.5%          7        1.7%
LOK_INT.EG5/КПП EG5        ВСЕГО                                     336        3.8%         20        5.6%
LOK_INT.EG5/КПП EG5       LOK_INT.EG5.TD1/Точка доступа 1             80        0.9%         12       13.0%
LOK_INT.EG5/КПП EG5       LOK_INT.EG5.TD2/Точка доступа 2            128        1.4%          4        3.0%
LOK_INT.EG5/КПП EG5       LOK_INT.EG5.TD3/Точка доступа 3            128        1.4%          4        3.0%
LOK_INT.EG6/КПП EG6        ВСЕГО                                     496        5.6%         40        7.5%
LOK_INT.EG6/КПП EG6       LOK_INT.EG6.TD1/Точка доступа 1             28        0.3%          2        6.7%
LOK_INT.EG6/КПП EG6       LOK_INT.EG6.TD2/Точка доступа 2            239        2.7%         14        5.5%
LOK_INT.EG6/КПП EG6       LOK_INT.EG6.TD3/Точка доступа 3            224        2.5%         24        9.7%
LOK_INT.EG6/КПП EG6       LOK_INT.EG6.TD4/Точка доступа 4              5        0.1%          0        0.0%
LOK_INT.EG7/КПП EG7        ВСЕГО                                     642        7.2%         13        2.0%
LOK_INT.EG7/КПП EG7       LOK_INT.EG7.TD1/Точка доступа 1             70        0.8%          0        0.0%
LOK_INT.EG7/КПП EG7       LOK_INT.EG7.TD2/Точка доступа 2            294        3.3%          8        2.6%
LOK_INT.EG7/КПП EG7       LOK_INT.EG7.TD3/Точка доступа 3            251        2.8%          5        2.0%
LOK_INT.EG7/КПП EG7       LOK_INT.EG7.TD4/Точка доступа 4             27        0.3%          0        0.0%
LOK_INT.EG8/КПП EG8        ВСЕГО                                     802        9.0%         23        2.8%
LOK_INT.EG8/КПП EG8       LOK_INT.EG8.TD1/Точка доступа 1             96        1.1%          1        1.0%
LOK_INT.EG8/КПП EG8       LOK_INT.EG8.TD2/Точка доступа 2            369        4.2%          8        2.1%
LOK_INT.EG8/КПП EG8       LOK_INT.EG8.TD3/Точка доступа 3            311        3.5%         14        4.3%
LOK_INT.EG8/КПП EG8       LOK_INT.EG8.TD4/Точка доступа 4             26        0.3%          0        0.0%
LOK_INT.EG9/КПП EG9        ВСЕГО                                     710        8.0%         29        3.9%
LOK_INT.EG9/КПП EG9       LOK_INT.EG9.TD1/Точка доступа 1            367        4.1%         13        3.4%
LOK_INT.EG9/КПП EG9       LOK_INT.EG9.TD2/Точка доступа 2            110        1.2%          8        6.8%
LOK_INT.EG9/КПП EG9       LOK_INT.EG9.TD3/Точка доступа 3             36        0.4%          7       16.3%
LOK_INT.EG9/КПП EG9       LOK_INT.EG9.TD4/Точка доступа 4            197        2.2%          1        0.5%
LOK_INT.EG10/КПП EG10      ВСЕГО                                     355        4.0%         11        3.0%
LOK_INT.EG10/КПП EG10     LOK_INT.EG10.TD1/Точка доступа 1           214        2.4%          6        2.7%
LOK_INT.EG10/КПП EG10     LOK_INT.EG10.TD2/Точка доступа 2            24        0.3%          1        4.0%
LOK_INT.EG10/КПП EG10     LOK_INT.EG10.TD3/Точка доступа 3            18        0.2%          1        5.3%
LOK_INT.EG10/КПП EG10     LOK_INT.EG10.TD4/Точка доступа 4            99        1.1%          3        2.9%
LOK_INT.EG12/КПП EG12      ВСЕГО                                      93        1.0%          0        0.0%
LOK_INT.EG12/КПП EG12     LOK_INT.EG12.TD1/Точка доступа 1            14        0.2%          0        0.0%
LOK_INT.EG12/КПП EG12     LOK_INT.EG12.TD2/Точка доступа 2            45        0.5%          0        0.0%
LOK_INT.EG12/КПП EG12     LOK_INT.EG12.TD3/Точка доступа 3            34        0.4%          0        0.0%
LOK_INT.EG18/КПП EG18      ВСЕГО                                     349        3.9%         39       10.1%
LOK_INT.EG18/КПП EG18     LOK_INT.EG18.TD1/Точка доступа 1           136        1.5%         16       10.5%
LOK_INT.EG18/КПП EG18     LOK_INT.EG18.TD2/Точка доступа 2           213        2.4%         23        9.7%
LOK_INT.EG19/КПП EG19      ВСЕГО                                     186        2.1%         17        8.4%
LOK_INT.EG19/КПП EG19     LOK_INT.EG19.TD1/Точка доступа 1            65        0.7%          5        7.1%
LOK_INT.EG19/КПП EG19     LOK_INT.EG19.TD2/Точка доступа 2           121        1.4%         12        9.0%
LOK_INT.DIAMOND/КПП DIAMO  ВСЕГО                                     298        3.4%         20        6.3%
LOK_INT.DIAMOND/КПП DIAMO LOK_INT.DIAMOND.TD1/Точка доступа 1        293        3.3%         20        6.4%
LOK_INT.DIAMOND/КПП DIAMO LOK_EXT.KPP4.MT2/Мобильный терминал          5        0.1%          0        0.0%
LOK_INT.VIP/КПП VIP        ВСЕГО                                     302        3.4%         34       10.1%
LOK_INT.VIP/КПП VIP       LOK_INT.VOSTOK_VIP.MT1/Мобильный те         43        0.5%          5       10.4%
LOK_INT.VIP/КПП VIP       LOK_INT.EGVIP.TD1/Точка доступа 1          259        2.9%         29       10.1%
LOK_INT.EG20/КПП EG20      ВСЕГО                                     228        2.6%         49       17.7%
LOK_INT.EG20/КПП EG20     LOK_INT.EG20.TD1/Точка доступа 1            90        1.0%         24       21.1%
LOK_INT.EG20/КПП EG20     LOK_INT.EG20.TD2/Точка доступа 2           138        1.6%         25       15.3%
LOK_INT.EG21/КПП EG21      ВСЕГО                                     507        5.7%         64       11.2%
LOK_INT.EG21/КПП EG21     LOK_INT.EG21.TD1/Точка доступа 1           224        2.5%         15        6.3%
LOK_INT.EG21/КПП EG21     LOK_INT.EG21.TD2/Точка доступа 2           283        3.2%         49       14.8%
LOK_INT.EG22/КПП EG22      ВСЕГО                                     378        4.3%         14        3.6%
LOK_INT.EG22/КПП EG22     LOK_INT.EG22.TD1/Точка доступа 1           163        1.8%          4        2.4%
LOK_INT.EG22/КПП EG22     LOK_INT.EG22.TD2/Точка доступа 2           215        2.4%         10        4.4%
LOK_INT.M-YUG/КПП М-ЮГ     ВСЕГО                                     225        2.5%         29       11.4%
LOK_INT.M-YUG/КПП М-ЮГ    LOK_INT.M-YUG.TD2/Точка доступа 2           92        1.0%          7        7.1%
LOK_INT.M-YUG/КПП М-ЮГ    LOK_INT.M-YUG.TD3/Точка доступа 3          104        1.2%         15       12.6%
LOK_INT.M-YUG/КПП М-ЮГ    LOK_INT.M-YUG.TD1/Точка доступа 1           29        0.3%          7       19.4%
LOK_INT.MGN/КПП МГН        ВСЕГО                                      71        0.8%         16       18.4%
LOK_INT.MGN/КПП МГН       LOK_INT.MGN.TD2/Точка доступа 2             25        0.3%         12       32.4%
LOK_INT.MGN/КПП МГН       LOK_INT.MGN.TD3/Точка доступа 3             46        0.5%          4        8.0%
LOK_INT.KPP_SeverEkspress  ВСЕГО                                      79        0.9%          7        8.1%
LOK_INT.KPP_SeverEkspress KPP_SE.TD1/Точка доступа 1                  11        0.1%          0        0.0%
LOK_INT.KPP_SeverEkspress KPP_SE.TD2/Точка доступа 2                  34        0.4%          2        5.6%
LOK_INT.KPP_SeverEkspress KPP_SE.TD3/Точка доступа 3                  23        0.3%          1        4.2%
LOK_INT.KPP_SeverEkspress KPP_SE.TD4/Точка доступа 4                  11        0.1%          4       26.7%


6. РАСПРЕДЕЛЕНИЕ СОБЫТИЙ ВХОДОВ ПО БИЛЕТАМ

Всего событий:       9490

          Событие                   Количество     В %
----------------------------------- ---------- -----------
Проход                                    8883       93.6%
Попытка повторного прохода                 401        4.2%
Неверный вход                              146        1.5%
Отказ от прохода                            41        0.4%
Билет уже используется                      15        0.2%
Ошибочное время прохода                      4        0.0%
