                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       Урал - Нефтехимик
Объект:     Екатеринбург внутренний периметр
Дата матча: 11.04.2025 19:00:00 +05:00
Дата формирования отчета: 11.04.2025 23:14:48 +05:00


Вошло зрителей внешн:                     0
Вышло зрителей внешн:                     0
Вошло зрителей внутр:                     0
Вышло зрителей внутр:                     0


1. КОЛИЧЕСТВО БИЛЕТОВ

EKTP.T16/T16              EKTP.T16.TD2/Точка доступа 2                72        1.8%         17       19.1%
EKTP.T16/T16              EKTP.T16.TD3/Точка доступа 3                97        2.4%         18       15.7%
EKTP.T17/T17               ВСЕГО                                     827       20.2%        104       11.2%
EKTP.T17/T17              EKTP.T17.TD1/Точка доступа 1               310        7.6%         25        7.5%
EKTP.T17/T17              EKTP.T17.TD2/Точка доступа 2               275        6.7%         61       18.2%
EKTP.T17/T17              EKTP.T17.TD3/Точка доступа 3               130        3.2%          7        5.1%
EKTP.T17/T17              EKTP.T17.TD4/Точка доступа 4               112        2.7%         11        8.9%
EKTP.T23/T23               ВСЕГО                                     343        8.4%         49       12.5%
EKTP.T23/T23              EKTP.T23.TD1/Точка доступа 1                 0        0.0%          2      100.0%
EKTP.T23/T23              EKTP.T23.TD2/Точка доступа 2                 0        0.0%          3      100.0%
EKTP.T23/T23              EKTP.T23.TD3/Точка доступа 3                 0        0.0%          4      100.0%
EKTP.T23/T23              EKTP.T23.TD4/Точка доступа 4                 8        0.2%          4       33.3%
EKTP.T23/T23              EKTP.T23.TD5/Точка доступа 5                21        0.5%          5       19.2%
EKTP.T23/T23              EKTP.T23.TD6/Точка доступа 6                55        1.3%          7       11.3%
EKTP.T23/T23              EKTP.T23.TD7/Точка доступа 7                98        2.4%          8        7.5%
EKTP.T23/T23              EKTP.T23.TD8/Точка доступа 8               161        3.9%         16        9.0%
EKTP.T24/T24               ВСЕГО                                      79        1.9%         18       18.6%
EKTP.T24/T24              EKTP.T24.TD1/Точка доступа 1                46        1.1%          9       16.4%
EKTP.T24/T24              EKTP.T24.TD2/Точка доступа 2                33        0.8%          9       21.4%
EKTP.T25/T25               ВСЕГО                                      29        0.7%         19       39.6%
EKTP.T25/T25              EKTP.T25.TD1/Точка доступа 1                15        0.4%          7       31.8%
EKTP.T25/T25              EKTP.T25.TD2/Точка доступа 2                14        0.3%         12       46.2%
EKTP.T26/T26               ВСЕГО                                      90        2.2%         23       20.4%
EKTP.T26/T26              EKTP.T26.TD1/Точка доступа 1                35        0.9%         13       27.1%
EKTP.T26/T26              EKTP.T26.TD2/Точка доступа 2                55        1.3%         10       15.4%
EKTP.T28/T28               ВСЕГО                                      88        2.2%         29       24.8%
EKTP.T28/T28              EKTP.T28.TD1/Точка доступа 1                33        0.8%          8       19.5%
EKTP.T28/T28              EKTP.T28.TD2/Точка доступа 2                24        0.6%          6       20.0%
EKTP.T28/T28              EKTP.T28.TD3/Точка доступа 3                24        0.6%          7       22.6%
EKTP.T28/T28              EKTP.T28.TD4/Точка доступа 4                 7        0.2%          8       53.3%
EKTP.T29/T29               ВСЕГО                                     195        4.8%         34       14.8%
EKTP.T29/T29              EKTP.T29.TD1/Точка доступа 1               107        2.6%          9        7.8%
EKTP.T29/T29              EKTP.T29.TD2/Точка доступа 2                82        2.0%         10       10.9%
EKTP.T29/T29              EKTP.T29.TD3/Точка доступа 3                 5        0.1%          8       61.5%
EKTP.T29/T29              EKTP.T29.TD4/Точка доступа 4                 1        0.0%          7       87.5%
EKTP.T30/T30               ВСЕГО                                     412       10.1%         51       11.0%
EKTP.T30/T30              EKTP.T30.TD1/Точка доступа 1               231        5.6%         26       10.1%
EKTP.T30/T30              EKTP.T30.TD2/Точка доступа 2               181        4.4%         25       12.1%
EKTP.T31/T31               ВСЕГО                                     464       11.3%         66       12.5%
EKTP.T31/T31              EKTP.T31.TD1/Точка доступа 1               214        5.2%         21        8.9%
EKTP.T31/T31              EKTP.T31.TD2/Точка доступа 2               130        3.2%         26       16.7%
EKTP.T31/T31              EKTP.T31.TD3/Точка доступа 3               120        2.9%         19       13.7%


6. РАСПРЕДЕЛЕНИЕ СОБЫТИЙ ВХОДОВ ПО БИЛЕТАМ

Всего событий:       4728

          Событие                   Количество     В %
----------------------------------- ---------- -----------
Проход                                    4091       86.5%
Неправильный сектор                        336        7.1%
Попытка повторного прохода                 172        3.6%
Отказ от прохода                           120        2.5%
Билет уже используется                       9        0.2%
