                 СТАТИСТИКА ПО БИЛЕТАМ
 
Игра:       Урал - Уфа
Объект:     Екатеринбург внутренний периметр
Дата матча: 11.05.2025 16:00:00 +05:00
Дата формирования отчета: 11.05.2025 18:54:05 +05:00
 
 
Вошло зрителей внешн:                     0
Вышло зрителей внешн:                     0
Вошло зрителей внутр:                     0
Вышло зрителей внутр:                     0
 
 
1. КОЛИЧЕСТВО БИЛЕТОВ
 
EKTP.T13/T13              EKTP.T13.TD1/Точка доступа 1                 5        0.1%          2       28.6%
EKTP.T13/T13              EKTP.T13.TD2/Точка доступа 2                12        0.2%          6       33.3%
EKTP.T13/T13              EKTP.T13.TD3/Точка доступа 3               117        1.9%         11        8.6%
EKTP.T13/T13              EKTP.T13.TD4/Точка доступа 4                75        1.2%         14       15.7%
EKTP.T16/T16               ВСЕГО                                     155        2.5%         34       18.0%
EKTP.T16/T16              EKTP.T16.TD2/Точка доступа 2                60        1.0%         19       24.1%
EKTP.T16/T16              EKTP.T16.TD3/Точка доступа 3                95        1.5%         15       13.6%
EKTP.T17/T17               ВСЕГО                                    1029       16.7%         79        7.1%
EKTP.T17/T17              EKTP.T17.TD1/Точка доступа 1               349        5.7%         12        3.3%
EKTP.T17/T17              EKTP.T17.TD2/Точка доступа 2               357        5.8%         49       12.1%
EKTP.T17/T17              EKTP.T17.TD3/Точка доступа 3               190        3.1%          6        3.1%
EKTP.T17/T17              EKTP.T17.TD4/Точка доступа 4               133        2.2%         12        8.3%
EKTP.T23/T23               ВСЕГО                                     472        7.7%         62       11.6%
EKTP.T23/T23              EKTP.T23.TD1/Точка доступа 1                19        0.3%          7       26.9%
EKTP.T23/T23              EKTP.T23.TD2/Точка доступа 2                10        0.2%          3       23.1%
EKTP.T23/T23              EKTP.T23.TD3/Точка доступа 3                31        0.5%          8       20.5%
EKTP.T23/T23              EKTP.T23.TD4/Точка доступа 4                25        0.4%          9       26.5%
EKTP.T23/T23              EKTP.T23.TD5/Точка доступа 5                42        0.7%          6       12.5%
EKTP.T23/T23              EKTP.T23.TD6/Точка доступа 6                66        1.1%         10       13.2%
EKTP.T23/T23              EKTP.T23.TD7/Точка доступа 7                95        1.5%          8        7.8%
EKTP.T23/T23              EKTP.T23.TD8/Точка доступа 8               184        3.0%         11        5.6%
EKTP.T24/T24               ВСЕГО                                     104        1.7%         25       19.4%
EKTP.T24/T24              EKTP.T24.TD1/Точка доступа 1                42        0.7%         10       19.2%
EKTP.T24/T24              EKTP.T24.TD2/Точка доступа 2                62        1.0%         15       19.5%
EKTP.T25/T25               ВСЕГО                                      67        1.1%          7        9.5%
EKTP.T25/T25              EKTP.T25.TD1/Точка доступа 1                38        0.6%          3        7.3%
EKTP.T25/T25              EKTP.T25.TD2/Точка доступа 2                29        0.5%          4       12.1%
EKTP.T26/T26               ВСЕГО                                     130        2.1%         41       24.0%
EKTP.T26/T26              EKTP.T26.TD1/Точка доступа 1                75        1.2%         19       20.2%
EKTP.T26/T26              EKTP.T26.TD2/Точка доступа 2                55        0.9%         22       28.6%
EKTP.T27/T27               ВСЕГО                                       2        0.0%          0        0.0%
EKTP.T27/T27              EKTP.T27.TD1/Точка доступа 1                 2        0.0%          0        0.0%
EKTP.T28/T28               ВСЕГО                                     133        2.2%         25       15.8%
EKTP.T28/T28              EKTP.T28.TD1/Точка доступа 1                57        0.9%          8       12.3%
EKTP.T28/T28              EKTP.T28.TD2/Точка доступа 2                33        0.5%          3        8.3%
EKTP.T28/T28              EKTP.T28.TD3/Точка доступа 3                30        0.5%          7       18.9%
EKTP.T28/T28              EKTP.T28.TD4/Точка доступа 4                13        0.2%          7       35.0%
EKTP.T29/T29               ВСЕГО                                     333        5.4%         39       10.5%
EKTP.T29/T29              EKTP.T29.TD1/Точка доступа 1               147        2.4%         11        7.0%
EKTP.T29/T29              EKTP.T29.TD2/Точка доступа 2               162        2.6%          6        3.6%
EKTP.T29/T29              EKTP.T29.TD3/Точка доступа 3                21        0.3%         14       40.0%
EKTP.T29/T29              EKTP.T29.TD4/Точка доступа 4                 3        0.0%          8       72.7%
EKTP.T30/T30               ВСЕГО                                     380        6.2%         55       12.6%
EKTP.T30/T30              EKTP.T30.TD1/Точка доступа 1               205        3.3%         29       12.4%
EKTP.T30/T30              EKTP.T30.TD2/Точка доступа 2               175        2.8%         26       12.9%
EKTP.T31/T31               ВСЕГО                                     538        8.8%        100       15.7%
EKTP.T31/T31              EKTP.T31.TD1/Точка доступа 1               239        3.9%         45       15.8%
EKTP.T31/T31              EKTP.T31.TD2/Точка доступа 2               156        2.5%         35       18.3%
EKTP.T31/T31              EKTP.T31.TD3/Точка доступа 3               143        2.3%         20       12.3%
 
 
6. РАСПРЕДЕЛЕНИЕ СОБЫТИЙ ВХОДОВ ПО БИЛЕТАМ
 
Всего событий:       6892
 
          Событие                   Количество     В %    
----------------------------------- ---------- -----------
Проход                                    6148       89.2%
Неправильный сектор                        383        5.6%
Попытка повторного прохода                 212        3.1%
Отказ от прохода                           145        2.1%
Билет уже используется                       4        0.1%
